epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2018,2.44626,8.07672,2.77213,0.06882,0.1509,0.07396,0.01847,3.08363,7.23768,3.76178,0.000325,0.000325,0.067825
2,64.1351,2.08713,3.64413,2.4469,0.23749,0.1168,0.05294,0.01778,3.18532,5.9362,3.84388,0.00065615,0.00065615,0.0348228
3,97.0186,2.02161,3.48767,2.37345,0.75045,0.06369,0.03677,0.00899,3.29481,inf,4.92371,0.000985089,0.000985089,0.00181842
4,130.521,2.03248,3.31728,2.36251,0.36365,0.26733,0.13658,0.03789,2.73916,5.12506,3.06287,0.00099005,0.00099005,0.00099005
5,161.15,2.00724,3.27556,2.35005,0.33457,0.22849,0.14999,0.04216,2.6144,5.70679,2.93233,0.000986733,0.000986733,0.000986733
6,193.602,1.91205,3.0876,2.27733,0.69983,0.34877,0.36735,0.12412,2.38874,3.83909,2.76658,0.000983417,0.000983417,0.000983417
7,224.142,1.91353,3.05382,2.22832,0.41199,0.23442,0.15481,0.04853,2.50901,4.52477,2.69766,0.0009801,0.0009801,0.0009801
8,255.222,1.90403,2.99216,2.22549,0.49285,0.38681,0.33307,0.10408,2.40324,3.70195,2.44103,0.000976783,0.000976783,0.000976783
9,285.483,1.81532,2.89028,2.16371,0.44483,0.49191,0.43694,0.14232,2.21851,3.03966,2.29612,0.000973467,0.000973467,0.000973467
10,316.771,1.80531,2.89611,2.14688,0.50893,0.37214,0.36344,0.12221,2.34378,3.25194,2.44008,0.00097015,0.00097015,0.00097015
11,352.092,1.80712,2.85357,2.13323,0.44774,0.49497,0.48117,0.1541,2.23909,2.87045,2.30747,0.000966833,0.000966833,0.000966833
12,384.462,1.80061,2.87156,2.13202,0.57683,0.47677,0.47173,0.16548,2.13514,2.89108,2.19954,0.000963517,0.000963517,0.000963517
13,417.851,1.7943,2.83028,2.13779,0.56652,0.36464,0.3738,0.10995,2.49836,3.24786,2.63969,0.0009602,0.0009602,0.0009602
14,451.637,1.78322,2.79519,2.1081,0.44502,0.44883,0.4207,0.14088,2.56151,2.91672,2.62148,0.000956883,0.000956883,0.000956883
15,479.869,1.79386,2.74989,2.13083,0.46686,0.33352,0.32551,0.10561,2.45603,3.45665,2.55066,0.000953567,0.000953567,0.000953567
16,515.238,1.80991,2.7576,2.14906,0.65038,0.45365,0.48055,0.17045,2.23684,2.63358,2.30046,0.00095025,0.00095025,0.00095025
17,549.947,1.72973,2.68603,2.10492,0.5712,0.49264,0.52423,0.17333,2.1553,2.59203,2.26748,0.000946933,0.000946933,0.000946933
18,580.845,1.7391,2.58654,2.0877,0.69933,0.44807,0.49676,0.16784,2.31694,2.68932,2.37248,0.000943617,0.000943617,0.000943617
19,611.249,1.71171,2.47769,2.03049,0.68075,0.53223,0.53767,0.18771,2.28228,2.58393,2.30118,0.0009403,0.0009403,0.0009403
20,641.79,1.73407,2.53966,2.05529,0.61484,0.36177,0.42117,0.15061,2.2118,3.17066,2.38781,0.000936983,0.000936983,0.000936983
21,676.222,1.7284,2.61172,2.06726,0.7142,0.43686,0.47912,0.16565,2.2303,2.67923,2.27855,0.000933667,0.000933667,0.000933667
22,709.737,1.71909,2.60413,2.05581,0.61234,0.4509,0.47102,0.15638,2.27357,2.71549,2.31279,0.00093035,0.00093035,0.00093035
23,744.639,1.71721,2.54547,2.05494,0.49057,0.51236,0.5118,0.18852,2.15117,2.6107,2.27322,0.000927033,0.000927033,0.000927033
24,776.104,1.66181,2.40121,2.02451,0.38528,0.39818,0.32308,0.10821,2.52193,3.22479,2.59613,0.000923717,0.000923717,0.000923717
25,808.756,1.74048,2.48801,2.08456,0.51252,0.54867,0.52587,0.20025,2.09088,2.75137,2.17782,0.0009204,0.0009204,0.0009204
26,839.905,1.7218,2.47521,2.06591,0.48644,0.51942,0.53062,0.20278,2.17283,2.49651,2.25535,0.000917083,0.000917083,0.000917083
27,872.648,1.68332,2.46511,2.00623,0.68335,0.49726,0.55625,0.19748,2.1771,2.54335,2.20312,0.000913767,0.000913767,0.000913767
28,902.432,1.70382,2.44639,2.03141,0.60643,0.43764,0.44244,0.15875,2.33668,2.82167,2.34578,0.00091045,0.00091045,0.00091045
29,933.709,1.69737,2.42751,2.00447,0.47954,0.5741,0.53535,0.19794,2.1164,2.54044,2.1854,0.000907133,0.000907133,0.000907133
30,967.191,1.69265,2.45908,2.03053,0.54662,0.64209,0.6098,0.24012,2.04776,2.4058,2.15881,0.000903817,0.000903817,0.000903817
